coverage_id,policy_id,risk_object_id,coverage_code,coverage_name,limit_amount,deductible_amount,premium
COV001,POL001,RO001,COLL,Collision,40000.00,500.00,260.00
COV002,POL001,RO001,COMP,Comprehensive,40000.00,500.00,180.00
COV003,POL001,RO001,BI,Bodily Injury,1000000.00,0.00,260.00
COV004,POL001,RO001,PD,Property Damage,500000.00,250.00,120.00
COV005,POL002,RO002,DWELL,Dwelling,350000.00,1000.00,300.00
COV006,POL002,RO002,CONT,Contents,80000.00,500.00,140.00
COV007,POL002,RO002,LIAB,Personal Liability,500000.00,0.00,100.00
COV008,POL003,RO003,COMP,Comprehensive,32000.00,500.00,180.00
COV009,POL003,RO003,BI,Bodily Injury,1000000.00,0.00,920.00
COV010,POL004,RO004,COMP,Comprehensive,18000.00,500.00,180.00
COV011,POL004,RO004,BI,Bodily Injury,1000000.00,0.00,240.00
COV012,POL005,RO005,COMP,Comprehensive Fleet,2500000.00,2500.00,18000.00
